Rowid_;FID;FREQUENCY;CUMUN;NMUN;N_SECCIONES
;0;1;16161;Piqueras del Castillo;1
;0;1;16162;Portalrubio de Guadamejud;1
;0;1;16163;Portilla;1
;0;1;16165;Poyatos;1
;0;1;16166;Pozoamargo;1
;0;1;16167;Pozorrubio de Santiago;1
;0;1;16169;Pozuelo, El;1
;0;1;16170;Priego;1
;0;2;16171;Provencio, El;2
;0;1;16172;Puebla de Almenara;1
;0;1;16173;Valle de Altomira, El;1
;0;1;16174;Puebla del Salvador;1
;0;4;16175;Quintanar del Rey;4
;0;1;16176;Rada de Haro;1
;0;1;16177;Reíllo;1
;0;1;16181;Rozalén del Monte;1
;0;1;16185;Saceda-Trasierra;1
;0;1;16186;Saelices;1
;0;1;16187;Salinas del Manzano;1
;0;1;16188;Salmeroncillos;1
;0;1;16189;Salvacañete;1
;0;4;16190;San Clemente;4
;0;1;16191;San Lorenzo de la Parrilla;1
;0;1;16192;San Martín de Boniches;1
;0;1;16193;San Pedro Palmiches;1
;0;1;16194;Santa Cruz de Moya;1
;0;1;16195;Santa María del Campo Rus;1
;0;1;16196;Santa María de los Llanos;1
;0;1;16197;Santa María del Val;1
;0;2;16198;Sisante;2
;0;1;16199;Solera de Gabaldón;1
;0;1;16202;Talayuelas;1
;0;8;16203;Tarancón;8
;0;1;16204;Tébar;1
;0;1;16205;Tejadillos;1
;0;1;16206;Tinajas;1
;0;1;16209;Torralba;1
;0;1;16211;Torrejoncillo del Rey;1
;0;1;16212;Torrubia del Campo;1
;0;1;16213;Torrubia del Castillo;1
;0;1;16215;Tragacete;1
;0;1;16216;Tresjuncos;1
;0;1;16217;Tribaldos;1
;0;1;16218;Uclés;1
;0;1;16219;Uña;1
;0;1;16224;Valdemeca;1
;0;1;16225;Valdemorillo de la Sierra;1
;0;1;16227;Valdemoro-Sierra;1
;0;1;16228;Valdeolivas;1
;0;1;16231;Valhermoso de la Fuente;1
;0;1;16234;Valsalobre;1
;0;1;16236;Valverde de Júcar;1
;0;1;16237;Valverdejo;1
;0;1;16238;Vara de Rey;1
;0;1;16239;Vega del Codorno;1
;0;1;16240;Vellisca;1
;0;1;16242;Villaconejos de Trabaque;1
;0;1;16243;Villaescusa de Haro;1
;0;1;16244;Villagarcía del Llano;1
;0;1;16245;Villalba de la Sierra;1
;0;1;16246;Villalba del Rey;1
;0;1;16247;Villalgordo del Marquesado;1
;0;1;16248;Villalpardo;1
;0;2;16249;Villamayor de Santiago;2
;0;1;16250;Villanueva de Guadamejud;1
;0;2;16251;Villanueva de la Jara;2
;0;1;16253;Villar de Cañas;1
;0;1;16254;Villar de Domingo García;1
;0;1;16255;Villar de la Encina;1
;0;1;16258;Villar del Humo;1
;0;1;16259;Villar del Infantado;1
;0;1;16263;Villar de Olalla;1
;0;1;16264;Villarejo de Fuentes;1
;0;1;16265;Villarejo de la Peñuela;1
;0;1;16266;Villarejo-Periesteban;1
;0;1;16269;Villares del Saz;1
;0;1;16270;Villarrubio;1
;0;1;16271;Villarta;1
;0;1;16272;Villas de la Ventosa;1
